Team,Power Level,
Extra team 5260,72.26,
Extra team 5261,65.46,
Extra team 5262,63.32,
Extra team 5263,46.81,
Extra team 5264,57.4,
Extra team 5265,79,
Extra team 5266,42.97,
Extra team 5267,86.5,
Extra team 5268,62.66,
Extra team 5269,15.7,
Extra team 5270,34.55,
Extra team 5271,53.35,
Extra team 5272,26.45,
Extra team 5273,83.18,
Extra team 5274,88.71,
Extra team 5275,31.99,
Extra team 5276,23.97,
Extra team 5277,28.07,
Extra team 5278,79.46,
Extra team 5279,38.04,
Extra team 5280,79.29,
Extra team 5281,4.98,
Extra team 5282,29.71,
Extra team 5283,13.67,
Extra team 5284,19.79,
Extra team 5285,3.27,
Extra team 5286,72.96,
Extra team 5287,50.16,
Extra team 5288,2.89,
Extra team 5289,68.38,
Extra team 5290,64.31,
Extra team 5291,75.38,
Extra team 5292,65.86,
Extra team 5293,36.18,
Extra team 5294,60.99,
Extra team 5295,50.94,
Extra team 5296,33.59,
Extra team 5297,59.79,
Extra team 5298,42.08,
Extra team 5299,52.13,
Extra team 5300,53.29,
Extra team 5301,11.84,
Extra team 5302,87.48,
Extra team 5303,5.84,
Extra team 5304,91.96,
Extra team 5305,61.93,
Extra team 5306,37.53,
Extra team 5307,68,
Extra team 5308,49.88,
Extra team 5309,1.95,
Extra team 5310,14.23,
Extra team 5311,3.31,
Extra team 5312,94.78,
Extra team 5313,9.08,
Extra team 5314,26.23,
Extra team 5315,26.59,
Extra team 5316,6.63,
Extra team 5317,95.7,
Extra team 5318,18.75,
Extra team 5319,99.13,
Extra team 5320,1.6,
Extra team 5321,93.51,
Extra team 5322,48.15,
Extra team 5323,68.6,
Extra team 5324,15.23,
Extra team 5325,46.62,
Extra team 5326,22.98,
Extra team 5327,25.81,
Extra team 5328,38.05,
Extra team 5329,84.66,
Extra team 5330,24.74,
Extra team 5331,97.59,
Extra team 5332,88.74,
Extra team 5333,7.47,
Extra team 5334,87.37,
Extra team 5335,42.29,
Extra team 5336,34.93,
Extra team 5337,23.26,
Extra team 5338,53.83,
Extra team 5339,81.17,
Extra team 5340,25.63,
Extra team 5341,12.11,
Extra team 5342,68.56,
Extra team 5343,13.19,
Extra team 5344,94,
Extra team 5345,34.98,
Extra team 5346,42.75,
Extra team 5347,40.97,
Extra team 5348,68.93,
Extra team 5349,18.05,
Extra team 5350,59.67,
Extra team 5351,46.25,
Extra team 5352,13.12,
Extra team 5353,36.45,
Extra team 5354,82.09,
Extra team 5355,76.27,
Extra team 5356,31.35,
Extra team 5357,20.94,
Extra team 5358,12.07,
Extra team 5359,14.49,
Extra team 5360,23.38,
Extra team 5361,2.14,
Extra team 5362,92.71,
Extra team 5363,88.55,
Extra team 5364,25.79,
Extra team 5365,52.3,
Extra team 5366,58.04,
Extra team 5367,17.48,
Extra team 5368,83.16,
Extra team 5369,36.54,
Extra team 5370,81.36,
Extra team 5371,74.39,
Extra team 5372,41.47,
Extra team 5373,39.15,
Extra team 5374,35.32,
Extra team 5375,71.27,
Extra team 5376,47.48,
Extra team 5377,67.68,
Extra team 5378,41.06,
Extra team 5379,55.86,
Extra team 5380,85.38,
Extra team 5381,10.35,
Extra team 5382,54.25,
Extra team 5383,32.02,
Extra team 5384,84.69,
Extra team 5385,12.14,
Extra team 5386,81.25,
Extra team 5387,63.54,
Extra team 5388,68.83,
Extra team 5389,94.63,
Extra team 5390,42.82,
Extra team 5391,1.17,
Extra team 5392,27.35,
Extra team 5393,16.2,
Extra team 5394,80.13,
Extra team 5395,54.98,
Extra team 5396,56.67,
Extra team 5397,62.33,
Extra team 5398,17.91,
Extra team 5399,39.39,
Extra team 5400,65.09,
Extra team 5401,12.63,
Extra team 5402,7.5,
Extra team 5403,4.58,
Extra team 5404,93.18,
Extra team 5405,63.66,
Extra team 5406,97.89,
Extra team 5407,32.22,
Extra team 5408,61.38,
Extra team 5409,24.37,
Extra team 5410,29.21,
Extra team 5411,84.38,
Extra team 5412,24.59,
Extra team 5413,30.49,
Extra team 5414,52.7,
Extra team 5415,79.13,
Extra team 5416,44.03,
Extra team 5417,61.17,
Extra team 5418,14.92,
Extra team 5419,12.18,
Extra team 5420,30.29,
Extra team 5421,99.44,
Extra team 5422,83.9,
Extra team 5423,56.08,
Extra team 5424,42.99,
Extra team 5425,60.97,
Extra team 5426,32.11,
Extra team 5427,24.03,
Extra team 5428,34.75,
Extra team 5429,23.1,
Extra team 5430,72.22,
Extra team 5431,9.64,
Extra team 5432,37.62,
Extra team 5433,60.19,
Extra team 5434,43.33,
Extra team 5435,1.84,
Extra team 5436,68.74,
Extra team 5437,8.41,
Extra team 5438,1.21,
Extra team 5439,78.84,
Extra team 5440,85.67,
Extra team 5441,12.61,
Extra team 5442,33.83,
Extra team 5443,15.59,
Extra team 5444,51.24,
Extra team 5445,0.16,
Extra team 5446,67.78,
Extra team 5447,20.33,
Extra team 5448,89.97,
Extra team 5449,49.16,
Extra team 5450,58.91,
Extra team 5451,7.93,
Extra team 5452,0.28,
Extra team 5453,23.65,
Extra team 5454,65.09,
Extra team 5455,4.53,
Extra team 5456,86.37,
Extra team 5457,24.71,
Extra team 5458,83.9,
Extra team 5459,13.31,
Extra team 5460,69.15,
Extra team 5461,4.43,
Extra team 5462,33.67,
Extra team 5463,58.6,
Extra team 5464,91.76,
Extra team 5465,38.03,
Extra team 5466,95.89,
Extra team 5467,91.29,
Extra team 5468,17.42,
Extra team 5469,60.16,
Extra team 5470,26.69,
Extra team 5471,80.55,
Extra team 5472,56.54,
Extra team 5473,29.35,
Extra team 5474,62.5,
Extra team 5475,21.31,
Extra team 5476,14.32,
Extra team 5477,94.62,
Extra team 5478,2.33,
Extra team 5479,51.49,
Extra team 5480,1.73,
Extra team 5481,26.12,
Extra team 5482,10.43,
Extra team 5483,10.13,
Extra team 5484,52.2,
Extra team 5485,18.91,
Extra team 5486,81.93,
Extra team 5487,39.22,
Extra team 5488,95.11,
Extra team 5489,91.91,
Extra team 5490,13.71,
Extra team 5491,94.05,
Extra team 5492,18.91,
Extra team 5493,26.15,
Extra team 5494,63.47,
Extra team 5495,55.66,
Extra team 5496,13.98,
Extra team 5497,78.16,
Extra team 5498,94.38,
Extra team 5499,88.84,
Extra team 5500,76.67,
Extra team 5501,89.05,
Extra team 5502,53.22,
Extra team 5503,1.1,
Extra team 5504,93.6,
Extra team 5505,68.42,
Extra team 5506,77.54,
Extra team 5507,99.26,
Extra team 5508,89.19,
Extra team 5509,80.24,
Extra team 5510,20.73,
Extra team 5511,79.91,
Extra team 5512,32.06,
Extra team 5513,19.83,
Extra team 5514,73.82,
Extra team 5515,22.14,
Extra team 5516,60.36,
Extra team 5517,72.49,
Extra team 5518,12.38,
Extra team 5519,69.27,
Extra team 5520,63.96,
Extra team 5521,67.31,
Extra team 5522,54.65,
Extra team 5523,53.01,
Extra team 5524,9.29,
Extra team 5525,29.74,
Extra team 5526,94.11,
Extra team 5527,38.8,
Extra team 5528,52.06,
Extra team 5529,26.97,
Extra team 5530,32.31,
Extra team 5531,15.16,
Extra team 5532,2.92,
Extra team 5533,54.42,
Extra team 5534,89.55,
Extra team 5535,37.46,
Extra team 5536,19.37,
Extra team 5537,14.17,
Extra team 5538,48.42,
Extra team 5539,26.2,
Extra team 5540,84.19,
Extra team 5541,90.69,
Extra team 5542,60.49,
Extra team 5543,9.73,
Extra team 5544,3.04,
Extra team 5545,39.26,
Extra team 5546,56.12,
Extra team 5547,39.95,
Extra team 5548,60.99,
Extra team 5549,67.68,
Extra team 5550,88.1,
Extra team 5551,32.76,
Extra team 5552,66.15,
Extra team 5553,9.02,
Extra team 5554,83.39,
Extra team 5555,61.11,
Extra team 5556,4.67,
Extra team 5557,79.03,
Extra team 5558,61.88,
Extra team 5559,15.23,
Extra team 5560,48.08,
Extra team 5561,22.56,
Extra team 5562,34.51,
Extra team 5563,68.73,
Extra team 5564,63.88,
Extra team 5565,69.52,
Extra team 5566,61.51,
Extra team 5567,47.9,
Extra team 5568,69.79,
Extra team 5569,87.54,
Extra team 5570,29.72,
Extra team 5571,63.62,
Extra team 5572,45.79,
Extra team 5573,91.08,
Extra team 5574,46.4,
Extra team 5575,54.88,
Extra team 5576,62.36,
Extra team 5577,43.04,
Extra team 5578,75.06,
Extra team 5579,93.32,
Extra team 5580,6.58,
Extra team 5581,47.82,
Extra team 5582,18.27,
Extra team 5583,23.12,
Extra team 5584,46.92,
Extra team 5585,27.28,
Extra team 5586,5.23,
Extra team 5587,73.96,
Extra team 5588,90.02,
Extra team 5589,94.95,
Extra team 5590,64.58,
Extra team 5591,76.69,
Extra team 5592,99.04,
Extra team 5593,79.55,
Extra team 5594,6.63,
Extra team 5595,43.21,
Extra team 5596,86.1,
Extra team 5597,74.46,
Extra team 5598,22.93,
Extra team 5599,85.85,
Extra team 5600,13.39,
Extra team 5601,52.17,
Extra team 5602,33.66,
Extra team 5603,84.72,
Extra team 5604,61.04,
Extra team 5605,20.25,
Extra team 5606,10.14,
Extra team 5607,21.61,
Extra team 5608,24.54,
Extra team 5609,91,
Extra team 5610,57.01,
Extra team 5611,56.25,
Extra team 5612,90.62,
Extra team 5613,80.52,
Extra team 5614,34.5,
Extra team 5615,14.67,
Extra team 5616,29.22,
Extra team 5617,21.86,
Extra team 5618,34.73,
Extra team 5619,58.12,
Extra team 5620,4.03,
Extra team 5621,51.11,
Extra team 5622,70.93,
Extra team 5623,46.12,
Extra team 5624,20.66,
Extra team 5625,85.25,
Extra team 5626,0.72,
Extra team 5627,27.99,
Extra team 5628,75.84,
Extra team 5629,52.25,
Extra team 5630,66.19,
Extra team 5631,40.53,
Extra team 5632,20.61,
Extra team 5633,11.55,
Extra team 5634,79.33,
Extra team 5635,63.99,
Extra team 5636,42.81,
Extra team 5637,26.07,
Extra team 5638,73.56,
Extra team 5639,11.12,
Extra team 5640,68.2,
Extra team 5641,88.08,
Extra team 5642,91.8,
Extra team 5643,24.57,
Extra team 5644,97.03,
Extra team 5645,19.53,
Extra team 5646,30.54,
Extra team 5647,98.51,
Extra team 5648,61.67,
Extra team 5649,10.64,
Extra team 5650,82.2,
Extra team 5651,27.29,
Extra team 5652,97.81,
Extra team 5653,30.9,
Extra team 5654,84.99,
Extra team 5655,13.83,
Extra team 5656,14.03,
Extra team 5657,32.85,
Extra team 5658,42.23,
Extra team 5659,3.07,
Extra team 5660,85.86,
Extra team 5661,15.79,
Extra team 5662,35.96,
Extra team 5663,83.69,
Extra team 5664,78.99,
Extra team 5665,56.3,
Extra team 5666,67.25,
Extra team 5667,11.07,
Extra team 5668,88.83,
Extra team 5669,90.6,
Extra team 5670,80.89,
Extra team 5671,1.11,
Extra team 5672,51.06,
Extra team 5673,93.09,
Extra team 5674,97.77,
Extra team 5675,10.9,
Extra team 5676,32.02,
Extra team 5677,85.62,
Extra team 5678,62.17,
Extra team 5679,68.82,
Extra team 5680,49.03,
Extra team 5681,58.67,
Extra team 5682,64.22,
Extra team 5683,48,
Extra team 5684,90.28,
Extra team 5685,71.87,
Extra team 5686,55.05,
Extra team 5687,78.25,
Extra team 5688,8.03,
Extra team 5689,8.53,
Extra team 5690,73.07,
Extra team 5691,0.79,
Extra team 5692,18.83,
Extra team 5693,13.94,
Extra team 5694,9.06,
Extra team 5695,11.27,
Extra team 5696,59.35,
Extra team 5697,25.71,
Extra team 5698,24.98,
Extra team 5699,20.27,
Extra team 5700,52.47,
Extra team 5701,13.63,
Extra team 5702,55.91,
Extra team 5703,71.13,
Extra team 5704,84.74,
Extra team 5705,28.66,
Extra team 5706,7.97,
Extra team 5707,27.36,
Extra team 5708,68.06,
Extra team 5709,10.41,
Extra team 5710,99.17,
Extra team 5711,73.3,
Extra team 5712,11.78,
Extra team 5713,29.43,
Extra team 5714,75.12,
Extra team 5715,55.57,
Extra team 5716,32.14,
Extra team 5717,7.62,
Extra team 5718,22.86,
Extra team 5719,2.41,
Extra team 5720,45.88,
Extra team 5721,2.25,
Extra team 5722,19.03,
Extra team 5723,47.43,
Extra team 5724,64.6,
Extra team 5725,14.48,
Extra team 5726,90.97,
Extra team 5727,94.22,
Extra team 5728,96.14,
Extra team 5729,24.96,
Extra team 5730,97.17,
Extra team 5731,54.21,
Extra team 5732,25.78,
Extra team 5733,2.21,
Extra team 5734,97.38,
Extra team 5735,68.25,
Extra team 5736,97.66,
Extra team 5737,64.5,
Extra team 5738,88.84,
Extra team 5739,6.46,
Extra team 5740,81.11,
Extra team 5741,31.02,
Extra team 5742,86.84,
Extra team 5743,75.09,
Extra team 5744,61.95,
Extra team 5745,96.89,
Extra team 5746,94.76,
Extra team 5747,19.54,
Extra team 5748,38.96,
Extra team 5749,0.38,
Extra team 5750,90.48,
Extra team 5751,24.76,
Extra team 5752,66.83,
Extra team 5753,71.79,
Extra team 5754,59.85,
Extra team 5755,96.55,
Extra team 5756,24.04,
Extra team 5757,9.81,
Extra team 5758,36.33,
Extra team 5759,72.67,
Extra team 5760,42.94,
Extra team 5761,71.31,
Extra team 5762,92.67,
Extra team 5763,96.43,
Extra team 5764,25.6,
Extra team 5765,18.07,
Extra team 5766,5.04,
Extra team 5767,97.41,
Extra team 5768,0.49,
Extra team 5769,43.14,
Extra team 5770,31.12,
Extra team 5771,15.48,
Extra team 5772,93.47,
Extra team 5773,2.61,
Extra team 5774,50.56,
Extra team 5775,63.66,
Extra team 5776,44.51,
Extra team 5777,12.89,
Extra team 5778,82.78,
Extra team 5779,63.44,
Extra team 5780,38.89,
Extra team 5781,99.02,
Extra team 5782,27.61,
Extra team 5783,92.09,
Extra team 5784,9.83,
Extra team 5785,34.88,
Extra team 5786,43.98,
Extra team 5787,68.25,
Extra team 5788,37.5,
Extra team 5789,10.12,
Extra team 5790,83,
Extra team 5791,48.85,
Extra team 5792,16.28,
Extra team 5793,77.41,
Extra team 5794,1.08,
Extra team 5795,18.55,
Extra team 5796,96.53,
Extra team 5797,68.91,
Extra team 5798,70.84,
Extra team 5799,5.73,
Extra team 5800,87.76,
Extra team 5801,29.2,
Extra team 5802,54.3,
Extra team 5803,3.93,
Extra team 5804,91.22,
Extra team 5805,80.25,
Extra team 5806,32.34,
Extra team 5807,32.13,
Extra team 5808,24.74,
Extra team 5809,78.8,
Extra team 5810,64.01,
Extra team 5811,61.83,
Extra team 5812,75.65,
Extra team 5813,14.45,
Extra team 5814,88.41,
Extra team 5815,95.87,
Extra team 5816,44.06,
Extra team 5817,30.46,
Extra team 5818,98.61,
Extra team 5819,58.88,
Extra team 5820,8.17,
Extra team 5821,16.58,
Extra team 5822,52.37,
Extra team 5823,22.65,
Extra team 5824,26.92,
Extra team 5825,79.15,
Extra team 5826,5.97,
Extra team 5827,46.44,
Extra team 5828,1.02,
Extra team 5829,71.52,
Extra team 5830,45.54,
Extra team 5831,60.91,
Extra team 5832,98.19,
Extra team 5833,75.21,
Extra team 5834,84.35,
Extra team 5835,60.39,
Extra team 5836,38.09,
Extra team 5837,17.81,
Extra team 5838,76.57,
Extra team 5839,8.42,
Extra team 5840,91.93,
Extra team 5841,93.27,
Extra team 5842,23.35,
Extra team 5843,64.14,
Extra team 5844,75.9,
Extra team 5845,92.18,
Extra team 5846,35.56,
Extra team 5847,66.27,
Extra team 5848,41.56,
Extra team 5849,46.03,
Extra team 5850,22.85,
Extra team 5851,74.43,
Extra team 5852,16.21,
Extra team 5853,37.01,
Extra team 5854,91.43,
Extra team 5855,99.88,
Extra team 5856,42.06,
Extra team 5857,89.33,
Extra team 5858,92.84,
Extra team 5859,35.37,
Extra team 5860,70.66,
Extra team 5861,24.4,
Extra team 5862,81.69,
Extra team 5863,1.43,
Extra team 5864,31.96,
Extra team 5865,24.98,
Extra team 5866,47.01,
Extra team 5867,59.15,
Extra team 5868,61.05,
Extra team 5869,59.73,
Extra team 5870,91.46,
Extra team 5871,39.03,
Extra team 5872,20.21,
Extra team 5873,65.4,
Extra team 5874,60.06,
Extra team 5875,21.04,
Extra team 5876,20.48,
Extra team 5877,56.35,
Extra team 5878,64.4,
Extra team 5879,57.94,
Extra team 5880,47.52,
Extra team 5881,86.36,
Extra team 5882,70.83,
Extra team 5883,18.87,
Extra team 5884,31.06,
Extra team 5885,37.61,
Extra team 5886,49.35,
Extra team 5887,6.89,
Extra team 5888,44,
Extra team 5889,34.8,
Extra team 5890,36.25,
Extra team 5891,87.86,
Extra team 5892,71.37,
Extra team 5893,89.62,
Extra team 5894,76.77,
Extra team 5895,38.92,
Extra team 5896,66.18,
Extra team 5897,67.41,
Extra team 5898,48.38,
Extra team 5899,8.57,
Extra team 5900,80.14,
Extra team 5901,79.06,
Extra team 5902,76.97,
Extra team 5903,94.54,
Extra team 5904,68.83,
Extra team 5905,65.15,
Extra team 5906,76.49,
Extra team 5907,15.55,
Extra team 5908,38.12,
Extra team 5909,47.21,
Extra team 5910,62,
Extra team 5911,51.65,
Extra team 5912,90.22,
Extra team 5913,85.89,
Extra team 5914,93.38,
Extra team 5915,38.27,
Extra team 5916,12.79,
Extra team 5917,70.7,
Extra team 5918,10.09,
Extra team 5919,44.51,
Extra team 5920,68.13,
Extra team 5921,67.92,
Extra team 5922,7.77,
Extra team 5923,42.64,
Extra team 5924,71.98,
Extra team 5925,72.99,
Extra team 5926,95.4,
Extra team 5927,95.93,
Extra team 5928,6.7,
Extra team 5929,46.62,
Extra team 5930,23.07,
Extra team 5931,5.74,
Extra team 5932,21.48,
Extra team 5933,58.01,
Extra team 5934,90.34,
Extra team 5935,89.88,
Extra team 5936,32.44,
Extra team 5937,20.46,
Extra team 5938,97.87,
Extra team 5939,16.48,
Extra team 5940,15.69,
Extra team 5941,82.72,
Extra team 5942,59.32,
Extra team 5943,51.72,
Extra team 5944,18.2,
Extra team 5945,74.88,
Extra team 5946,47.57,
Extra team 5947,40.67,
Extra team 5948,13.63,
Extra team 5949,84.11,
Extra team 5950,3.12,
Extra team 5951,21.1,
Extra team 5952,34.36,
Extra team 5953,34.63,
Extra team 5954,9.93,
Extra team 5955,31.65,
Extra team 5956,22.83,
Extra team 5957,1.19,
Extra team 5958,26.56,
Extra team 5959,29.88,
Extra team 5960,41.48,
Extra team 5961,47.22,
Extra team 5962,38.86,
Extra team 5963,75.85,
Extra team 5964,94.15,
Extra team 5965,11.15,
Extra team 5966,50.65,
Extra team 5967,94.5,
Extra team 5968,60.25,
Extra team 5969,51.75,
Extra team 5970,67.62,
Extra team 5971,94.97,
Extra team 5972,44.38,
Extra team 5973,55.53,
Extra team 5974,54.1,
Extra team 5975,89.36,
Extra team 5976,78.83,
Extra team 5977,71.94,
Extra team 5978,67.56,
Extra team 5979,71.19,
Extra team 5980,90.71,
Extra team 5981,72.23,
Extra team 5982,38.37,
Extra team 5983,36.71,
Extra team 5984,92.25,
Extra team 5985,80.16,
Extra team 5986,49.91,
Extra team 5987,59.07,
Extra team 5988,43.18,
Extra team 5989,34.29,
Extra team 5990,50.69,
Extra team 5991,51.36,
Extra team 5992,85.65,
Extra team 5993,50.69,
Extra team 5994,89.62,
Extra team 5995,90.22,
Extra team 5996,43,
Extra team 5997,93.1,
Extra team 5998,42.41,
Extra team 5999,44.56,
Extra team 6000,25.31,
Extra team 6001,10.69,
Extra team 6002,58.66,
Extra team 6003,49.44,
Extra team 6004,78.61,
Extra team 6005,47.3,
Extra team 6006,0.74,
Extra team 6007,89.78,
Extra team 6008,90.61,
Extra team 6009,68.31,
Extra team 6010,93.14,
Extra team 6011,7.84,
Extra team 6012,16.03,
Extra team 6013,14.91,
Extra team 6014,2.74,
Extra team 6015,69.36,
Extra team 6016,52.03,
Extra team 6017,9.14,
Extra team 6018,52.17,
Extra team 6019,94.06,
Extra team 6020,48.31,
Extra team 6021,0.52,
Extra team 6022,61.47,
Extra team 6023,45.57,
Extra team 6024,83.08,
Extra team 6025,68.79,
Extra team 6026,6.72,
Extra team 6027,84.56,
Extra team 6028,31.17,
Extra team 6029,69.38,
Extra team 6030,86.69,
Extra team 6031,11.85,
Extra team 6032,12.98,
Extra team 6033,34.13,
Extra team 6034,77.33,
Extra team 6035,26.72,
Extra team 6036,67.52,
Extra team 6037,56.17,
Extra team 6038,58.94,
Extra team 6039,35.95,
Extra team 6040,89.03,
Extra team 6041,34.31,
Extra team 6042,49.42,
Extra team 6043,13.94,
Extra team 6044,54.64,
Extra team 6045,44.04,
Extra team 6046,96.17,
Extra team 6047,74.95,
Extra team 6048,16.29,
Extra team 6049,11.8,
Extra team 6050,96.15,
Extra team 6051,78.03,
Extra team 6052,96.02,
Extra team 6053,25.42,
Extra team 6054,78.52,
Extra team 6055,98.42,
Extra team 6056,53.85,
Extra team 6057,27.21,
Extra team 6058,87.25,
Extra team 6059,16.84,
Extra team 6060,67.88,
Extra team 6061,18.91,
Extra team 6062,57,
Extra team 6063,25.72,
Extra team 6064,59.1,
Extra team 6065,70.58,
Extra team 6066,21.36,
Extra team 6067,45.04,
Extra team 6068,27.91,
Extra team 6069,6.85,
Extra team 6070,8.5,
Extra team 6071,94.81,
Extra team 6072,32.55,
Extra team 6073,59.93,
Extra team 6074,99.51,
Extra team 6075,26.41,
Extra team 6076,39.86,
Extra team 6077,93.45,
Extra team 6078,4.01,
Extra team 6079,30.6,
Extra team 6080,86.14,
Extra team 6081,1.24,
Extra team 6082,59.19,
Extra team 6083,58.84,
Extra team 6084,56.36,
Extra team 6085,76.8,
Extra team 6086,1.99,
Extra team 6087,9.81,
Extra team 6088,90.64,
Extra team 6089,23.51,
Extra team 6090,61.6,
Extra team 6091,75.63,
Extra team 6092,90.98,
Extra team 6093,1.42,
Extra team 6094,51.1,
Extra team 6095,4.15,
Extra team 6096,84.24,
Extra team 6097,22.72,
Extra team 6098,9.8,
Extra team 6099,28.67,
Extra team 6100,28.24,
Extra team 6101,18.49,
Extra team 6102,50.45,
Extra team 6103,16.59,
Extra team 6104,40.07,
Extra team 6105,44.55,
Extra team 6106,31.12,
Extra team 6107,28.15,
Extra team 6108,74.83,
Extra team 6109,74.27,
Extra team 6110,63.79,
Extra team 6111,10.12,
Extra team 6112,77.64,
Extra team 6113,94.48,
Extra team 6114,71.74,
Extra team 6115,49.97,
Extra team 6116,47.23,
Extra team 6117,80.01,
Extra team 6118,61.1,
Extra team 6119,96.89,
Extra team 6120,55.32,
Extra team 6121,35.53,
Extra team 6122,2.89,
Extra team 6123,62.05,
Extra team 6124,60.32,
Extra team 6125,27.09,
Extra team 6126,32.18,
Extra team 6127,18.35,
Extra team 6128,68.11,
Extra team 6129,96.35,
Extra team 6130,8.33,
Extra team 6131,99.89,
Extra team 6132,66.53,
Extra team 6133,13.75,
Extra team 6134,91.29,
Extra team 6135,76.21,
Extra team 6136,0.62,
Extra team 6137,18.45,
Extra team 6138,5.78,
Extra team 6139,37.73,
Extra team 6140,50.63,
Extra team 6141,95.43,
Extra team 6142,53.75,
Extra team 6143,82.02,
Extra team 6144,18.12,
Extra team 6145,20.32,
Extra team 6146,19.63,
Extra team 6147,42.83,
Extra team 6148,76.68,
Extra team 6149,9.59,
Extra team 6150,91.57,
Extra team 6151,84.04,
Extra team 6152,88.26,
Extra team 6153,83.87,
Extra team 6154,22.29,
Extra team 6155,99.3,
Extra team 6156,46.34,
Extra team 6157,19.82,
Extra team 6158,3.18,
Extra team 6159,50.95,
Extra team 6160,56.14,
Extra team 6161,84.55,
Extra team 6162,29.25,
Extra team 6163,27.81,
Extra team 6164,33.5,
Extra team 6165,71.75,
Extra team 6166,32.03,
Extra team 6167,26.23,
Extra team 6168,55.9,
Extra team 6169,3.16,
Extra team 6170,80.38,
Extra team 6171,75.13,
Extra team 6172,42.42,
Extra team 6173,39.36,
Extra team 6174,40.26,
Extra team 6175,53.04,
Extra team 6176,64.28,
Extra team 6177,11.57,
Extra team 6178,15.52,
Extra team 6179,25.75,
Extra team 6180,8.32,
Extra team 6181,48.72,
Extra team 6182,67.61,
Extra team 6183,82.01,
Extra team 6184,70.99,
Extra team 6185,31.43,
Extra team 6186,91.06,
Extra team 6187,17.31,
Extra team 6188,44.93,
Extra team 6189,14.71,
Extra team 6190,54.05,
Extra team 6191,18.18,
Extra team 6192,34.49,
Extra team 6193,73.09,
Extra team 6194,84.59,
Extra team 6195,15.29,
Extra team 6196,97.76,
Extra team 6197,74.49,
Extra team 6198,39.45,
Extra team 6199,61.98,
Extra team 6200,72.19,
Extra team 6201,91.9,
Extra team 6202,74.27,
Extra team 6203,97.62,
Extra team 6204,90.47,
Extra team 6205,13.02,
Extra team 6206,52.96,
Extra team 6207,50.5,
Extra team 6208,46.2,
Extra team 6209,5.23,
Extra team 6210,45.33,
Extra team 6211,97.51,
Extra team 6212,28.48,
Extra team 6213,68.87,
Extra team 6214,71.49,
Extra team 6215,64.89,
Extra team 6216,84.93,
Extra team 6217,51.57,
Extra team 6218,59.28,
Extra team 6219,47,
Extra team 6220,76.15,
Extra team 6221,85.41,
Extra team 6222,15.68,
Extra team 6223,4.37,
Extra team 6224,86.67,
Extra team 6225,35.64,
Extra team 6226,38.51,
Extra team 6227,90.54,
Extra team 6228,70.3,
Extra team 6229,46.15,
Extra team 6230,0.04,
Extra team 6231,19.92,
Extra team 6232,59.61,
Extra team 6233,84.84,
Extra team 6234,44.85,
Extra team 6235,15.28,
Extra team 6236,97.03,
Extra team 6237,67.66,
Extra team 6238,24.09,
Extra team 6239,97.47,
Extra team 6240,12.19,
Extra team 6241,6.08,
Extra team 6242,55.11,
Extra team 6243,17.57,
Extra team 6244,60.09,
Extra team 6245,22.02,
Extra team 6246,68.41,
Extra team 6247,69.4,
Extra team 6248,64.41,
Extra team 6249,46.7,
Extra team 6250,97.44,
Extra team 6251,7.13,
Extra team 6252,37.89,
Extra team 6253,69.74,
Extra team 6254,68.94,
Extra team 6255,15.68,
Extra team 6256,80.16,
Extra team 6257,82.76,
Extra team 6258,51.7,
Extra team 6259,55.95,
Extra team 6260,79.58,
Extra team 6261,25.33,
Extra team 6262,58.8,
Extra team 6263,38.56,
Extra team 6264,9.17,
Extra team 6265,40.7,
Extra team 6266,44.51,
Extra team 6267,30.28,
Extra team 6268,88.94,
Extra team 6269,5.53,
Extra team 6270,55.03,
Extra team 6271,1.41,
Extra team 6272,21.91,
Extra team 6273,77.52,
Extra team 6274,99.31,
Extra team 6275,96.9,
Extra team 6276,75.91,
Extra team 6277,85.14,
Extra team 6278,86.2,
Extra team 6279,16.56,
Extra team 6280,38.48,
Extra team 6281,69.52,
Extra team 6282,96.16,
Extra team 6283,49.59,
Extra team 6284,57.85,
Extra team 6285,40.29,
Extra team 6286,88.69,
Extra team 6287,10.5,
Extra team 6288,67.03,
Extra team 6289,41.45,
Extra team 6290,42.38,
Extra team 6291,2.64,
Extra team 6292,57.99,
Extra team 6293,69.34,
Extra team 6294,88.27,
Extra team 6295,91.71,
Extra team 6296,28.3,
Extra team 6297,58.01,
Extra team 6298,1.28,
Extra team 6299,76.96,
Extra team 6300,90.35,
Extra team 6301,35.82,
Extra team 6302,54.8,
Extra team 6303,38.62,
Extra team 6304,22.83,
Extra team 6305,56.24,
Extra team 6306,94.85,
Extra team 6307,78.26,
Extra team 6308,53.16,
Extra team 6309,83.29,
Extra team 6310,21.31,
Extra team 6311,96.53,
Extra team 6312,29.05,
Extra team 6313,56.96,
Extra team 6314,65.06,
Extra team 6315,84.86,
Extra team 6316,93.11,
Extra team 6317,50.61,
Extra team 6318,84.93,
Extra team 6319,44.92,
Extra team 6320,38.97,
Extra team 6321,40.91,
Extra team 6322,16.07,
Extra team 6323,81.78,
Extra team 6324,22.84,
Extra team 6325,63.26,
Extra team 6326,64.08,
Extra team 6327,35.52,
Extra team 6328,66.36,
Extra team 6329,98.6,
Extra team 6330,68.05,
Extra team 6331,40.98,
Extra team 6332,36.2,
Extra team 6333,22.11,
Extra team 6334,18.59,
Extra team 6335,62.23,
Extra team 6336,19.35,
